PK_LOCALIDADE;CODIGO_REGIAO;_NOME_REGIAO;CIDADE;PAIS;ESTADO;CEP
4d53fd729321648abca2c8364e72e1a1f2baf14641437cbfabc601be8614f5c1;5;International;SE-132 28 Saltsjo-Boo;AU;"";\"\"
4ce8f0cf44608b73e094d65e729e9527df9ccae60f8d700daaeadbb2a8593627;1;Western;Fresno;US;CA;93706
d8591b2d8b9b871d99341193b99536886f3897367a8c1182f492c2556a628a17;1;Western;Compton;US;CA;90220
40ee85e6c1acc8228d5bd5d3a981b89548f4c1d2e56febb4662819ea08ef56f3;5;International;Madrid;UK;"";28006
1c5b5dcd9c28b2e89ef1e003ee9bb108e2e3828a478bfe212651e2f731cb078d;4;Central;Morton;US;IL;61550-0474
d7501cb2070d9565c17977263fb806afd7b8a66322c20f58f7afae87ad5023d5;0;Canada;Boucherville;CA;QU;J4B 7K1
c4441afaa0799310b1f013ac1b7c10cab9a8c6b86288505995040d1d7391ba0d;2;Southern;North Little Rock;US;AR;72113
8deb266c69a6a2eb17fc70e4174040c95fc88c3aa8ddc19bf2da4cc404280a0c;4;Central;Saginaw;US;MI;48606
6ec1ec90d08414b985088fe9a1e775a7de79a7cadf4576a0fd30ffd636b17304;3;Northeast;West Point;US;PA;19486
89ec5b51e9973ed588df6bd90db1dff34ef3e88225f1b475f28e7eb5353c641c;0;Canada;Regina;CA;SK;S4N 4X9
628c8ab0d3b6771d76c587bded1577fc9a256e716a9cb08d0e375b10e480e849;2;Southern;Buda;US;TX;78610
cd27d30046fce2002bff3c7bdc24b92db0344c2792d840c0e636b76794e89c7b;2;Southern;Okolona;US;MS;38860
d22490ab3c19daea4093d0b633eef9fa5d1458d05b9e20734a119d5acbb74ee1;4;Central;Valparaiso;US;IN;46385
c94a198c68ec2d3758de7aa786a28a3db241aa0d61e6c7b778e608cbe55c32e8;4;Central;Pontiac;US;MI;48340-2956
a363942264f821674ab12547595046111188de94c13a8c0662599b53b99976eb;0;Canada;Edmonton;CA;AB;T6E 5V2
f334145007d9d5d74549708c2ea325e807f0e6aa490235c4fbb1eab26aad7ee3;5;International;Lighthorne Warwick;UK;"";CV35 ORG
ece21ce846e95344ad1a2c3d5e45075e8f132034e32bc3fe206e4c9e1099a7cd;2;Southern;Brownsville;US;TX;78521
c08bb0617319ca0e3c3f47e28c780d0b728916a406bc5e5a2e24f046a86478db;2;Southern;Irving;US;TX;75060
cd314b6d1621cc1bd17744444c53a434a90dc43b76f3c4af4221afd4a5505c09;2;Southern;El Paso;US;TX;79925
5a00add379c416543d94d21c8517e7c4ee9ca2c1b4cc495c2ed294718eccc7a7;5;International;A 5102 Anthering;UK;"";\"\"
1d34ddfd8912db95b62621da85023215744c41a33321eb9bcae2285697aab54f;1;Western;Yakama;US;WA;98901
338e7c58c79b50f5ea10e422bb705cfac0bc1dc90dbdc340e5c615421ed0bdfb;2;Southern;Greenville;US;SC;29605
4b08d0a9e9ed2fc4c3be6cf3fa09fbfdd4fa552acd8c6298e685fe3de709dd8b;1;Western;Casper;US;WY;82604
5e6dfcfac4e993839ff66942a47c51fa8b327acd616a04c811db3f62bca82b9c;1;Western;Fort Collins;US;CO;80524
24c0d6642d1fc7806e30b81aaa0eece4bb87623a2b5a7a8a445296edc32fa1fc;2;Southern;Memphis;US;TN;38133
2d277d359e66f460f42945e2d0a301da1fa6b4bfbb7a9f0a991d4445fc44c2a6;5;International;Não informado;Não informado;Não informado;Não informado
b7c805127dc03abbfd5325aa7f8e1e370b6671e1dd8db7001530de4ab865ccc6;1;Western;Hayward;US;CA;94540
080df72f1b3892aff46381fe079282e2ceae95e63d7334d8756747045e680631;1;Western;Irvine;US;CA;92618
7e869d64b5d8703a2d17f0e8f148fe4f2dcd4283975fd76771a051cf4c3c6557;3;Northeast;Roanoke;US;VA;24013
f57aa6fb0f7c03413eae8e8c8bf029bbd7a57416d7a4d5e3c965d4e98f150e3c;2;Southern;Goodlettsville;US;TN;37072
69c8454f947d68ca73b9ce35eee991cd693141cb6fd0f3f9e64cdd8025270727;2;Southern;Jacksonville;US;FL;32241-3017
a6ed702a7a665a2262ca3e01abc5058d0d8142ef5b3794a8902edf8a703da16f;2;Southern;Houston;US;TX;77061
88446174f93847841094bd3ec11cdb33dbf9cdedde1be36cdb75ac9b9ef916e3;4;Central;Chippewa Falls;US;WI;54729
f7b1d37d6e1ebe98ef27450f64a0e71e5c7468e838d0f7cb5c2a738d1cdc077b;5;International;Beirut;AU;"";\"\"
533c7f7a19bbe72d99783b16aa911202290955754653631d2cc24f55e82e375f;2;Southern;El Paso;US;TX;79915
e29f46c074a94d4fab3ad25b230eb02035249f93bd427947d2b00b10f27171c0;2;Southern;Amarillo;US;TX;79107
d5d1af3e399a48f259fd0027d625ca08ad901186d74870dc493e3d7fdcddcf2f;4;Central;Traverse City;US;MI;49685
9ace36c8ff35455fe201f7f09d194fa835678e3484483f6702f72be8a298b8cd;2;Southern;Statesville;US;NC;28625
7c0e2e085c6a0e7b5e294980c0f895b1fdaa8436f486a33f9fe91e6f4ca43df9;4;Central;Waterville;US;KS;66548
2b669f49e93f99f1250313a9c7f077d59f56a2fb2f7a8d49c125bb52f5e70b65;2;Southern;Duluth;US;GA;30096
a9ade62a902bc57f0d56ef06b8aec4338266d8e31c974d9094f79e055df37276;1;Western;Bremorton;US;WA;98312
52c54d3b2f5d90404a865d97879229ab65bed4b3c98690c561c09bfc5b282363;4;Central;Elkhart;US;IN;46516
f8ad72e1233e3217c21cb4a8fe4abc40a71e4a1873d3a148331ade67dcd955b6;4;Central;Garner;US;IA;50438
5f3dcb7473b0559c42a3818572457a03121f049120930e9a6570cc11159d5687;5;International;Seocho-GU;AU;"";137-938
523df308dc7e24a57e68c7ccbdd3174782ba605c79097e1dfc1aead940a9076e;1;Western;Pomona;US;CA;91766
9b4f8584d469f560e0801d5e5d78040fde657779791432b4a6e60c510fa4a690;2;Southern;Meridian;US;MS;39307
9d392ab8f0656330550f9dbf311a5a015229ea6f0fc8669a145073ec926e0c12;1;Western;Missoula;US;MT;59806
7acb45ebeace7d068460ae5e9bbf1fccebc5edbbf156ca11139bc1ee405c2f04;4;Central;Aurora;US;IL;60507-2060
fbf781881547cef684b575b52336ab44fea129f4f695c067e4e93ca92481a71d;0;Canada;Calgary;CA;AB;T2J 4L3
9dc1a30887f9f50361d02dd767cd5805b518fc8ae3fd57b56f6f3176d90b6d24;4;Central;Bedford;US;OH;44146
da0958e136c1bec493152190681ddded6425400a6fac541f412ec4f6a6c5a893;4;Central;Andover;US;SD;57422-8811
a5fa51ae206eaa9c5b32772dd2373098619236395f85a5dc38c892718f3bf9fa;2;Southern;Villa Rica;US;GA;30180-0266
4839ec259f5ff9ff1ac753d909e1a2c7ccafb4a2626caef66df2d7fed1f17a3f;1;Western;Eugene;US;OR;97402-3519
f9e036358e9ba3ccaf6072a084f17a53689a07a0e74f40547ce9459fb2ce5e0c;0;Canada;Winnipeg;CA;MB;R3C 2W7
3dd4ca6e37487fc1082f3121dfc308ec9f99ced52b664b7099c34a134f03c03d;4;Central;Livonia;US;MI;48153-7940
4ab1d3590234f16f498f2148385ac51ec0b03a3ddb70352855db374bd482e393;1;Western;Van Nuys;US;CA;91406
4431327b7e0cab0da708e74a8a623787ea18d5e274594812e96956e9b7c93e8e;4;Central;Janesville;US;WI;53547-5222
3e2fce40d57992ff49c5b739978c585bb491df322101ac7623d5ac5ccbb1a388;0;Canada;Boucherville;CA;QU;J4B 2X3
1d8ec46ac5c59fba797ba12f8a73f5d24ede29ba4473da99ace596cb472bb80d;2;Southern;Chattanooga;US;TN;37407
301f6865fd1b07a95605e5c7b2306aefe6a88c6fc882a267b57c220e8b054aa8;0;Canada;Edmonton;CA;AB;T6B 2C5
1b57b23b604855c78904a195b3922da432716d6f0e39fe7a74500909703c3079;2;Southern;Calhoun;US;LA;71225-0547
