PK_TEMPO;DIA;MES;ANO
47dc9237d06cdf0215af94affdfdb12923ac8ca7c14fb295fe925a45f4ba3771;16;03;2018
6903289ad8a6163aed6c78dcbb17fd18f3011692f13fedbaa8b61bf5f99a97a5;06;07;2017
2a3fb813658018134adfe63665ad2313d773238c5647bb803e24b71dd6e27310;19;05;2017
9ca4ff25fb0682a9ceb0ab4bedfe8f0babfce376ebf614b2a1ca7f8989ae4e5f;05;03;2018
ea945eb36e5f73ba0d93a6712bef6b8236defe53429e99a5fdf4acd95494872a;26;05;2017
48b46fdd2fba51f37c604e0bf0c4d548e9cc247ccd460d698a54ec256f6a09fd;06;11;2017
a19d81a6968fb35d2b16f1ef77c8711d54e517b2c9ac2c981601c47bb5729584;15;02;2019
c6aad5bdac53dd860a1e87068f6dacc6f8dfc589f7bbc57a5815b51b14974092;09;07;2018
40198f6edf7c3c5ebe035b9c961a08379c191b8fb36e141426f03b4d9abbf8a3;23;02;2019
70dc6f844dff4ca32e4fd9b8d3fe95cd27ac4462a4048ad71afc5b515b7e3145;07;12;2018
b585bc5de68a39a9bc6383494cd393b97d216d7927bfb54b3a5575fe036e6665;12;10;2017
fc92d4de041d6047bfc99f2af13e7556d319fc687f5ebaff923ebd8b7247a609;04;10;2018
268211a398c3633bef28e801947f69bb647cf9e58b60954486ec556ea315d55f;13;09;2017
11de13f5f097d07c0da248f72d33f36fc9001edaf2cd282094d37f7e97b25622;04;03;2018
6b86a9c523c5adc14b6e1a10c8537279d8b6b8028a7778427a186b2f26811bc2;27;07;2018
2abd33be7787974ef40d75e1b4417013dabfb5105513363d5a02cdd2a147ee4a;15;06;2018
6a60e4d3f05373418d4b7d95d933120a74764043974b387fd63ec08359f0f6a9;16;02;2018
b6e55c6f5bb1ced1337d2541f7c95a74eabb8b3c650ee3970df270653a1d810c;30;04;2018
692b989a7ac020e43436c7618f7939ab19e42eebe3da6cbc828f789bead5fab5;05;10;2018
fc274d703d117e198c5d70b3721dc7550ba4195106392cb72d213cb93304b4a1;09;03;2019
3a31622630070c825e074967b96642c1cdb04343ee2c5f3cf9efe0f48f0e2a25;26;06;2018
ea3221b322ff2aa651aff03825d84c758b0738805fccb3369054b0691013587e;08;05;2017
88294bf2b4f94e461614361505703daf314c40ce52f16e90671acba9c0370363;16;09;2018
a9215ee660a0736098ad81b89227c81333c53cefad8bf740594bc62f1ce24f8d;06;05;2018
752c8e5dba6f7b81faff4555919c7a7f4c6dcdb8c6e43f5caf2d58b76e3fb8d8;26;01;2017
13bcf52c880232401ed6c64b0f7c04cc08e2233fa5742732aa02eaabd84a1c66;24;12;2018
d3a38972df7780abcb7dbe0a46c7f0eed7ec2180d2b2af32c1a711a7a419be42;15;09;2018
09bfc42ff9a3a67cad2cc36c84333b9e052bb04470b3053617a170c1506ffdd2;20;07;2017
9fee0c03d269a31ad79310348fcf9c1ad5bb2faafece99d0f3bf8dc26c4ab81c;05;06;2018
a688a1283bbf31fd45052d6017ecd119fe0e241ddf1ce7f919787400e40bde0d;03;11;2018
328a2b031d1286ea36d45d1c57776a05fb44484fe3ee07ec2d689282681fe280;27;02;2017
8cd306fb044d0de9c4ea0e76f2dff0ff62cef582ea0fa858599216bdc2b9f86c;04;01;2019
4011bc42c7066fcc43cfe6a83f2ed8ffe25058604501512e273fc76d23b9e88c;09;06;2018
d24f91d7adcffd2cf6765ec4372539d6365a121896626e6443283e26f9e767d1;15;09;2017
585c918ec1ebe90ad9fc764b25ffb9c555a96df86f66b9511bb6372f5558973c;17;12;2018
0c22f429fcb79f655973b157a3615ada20897d08bde0e19de8e682eda0a5c762;11;02;2018
7b0aab8780fceaa6710753684fef9fdb6a2a860228fdbaefa9f5acb37bb21ff9;26;05;2018
e30585edab56a235c17ef0243b42375342e69ba3b37c4e507a53f78177c9bbda;13;06;2017
f8031d4426bedca0965b525d7fd2f885f3e31e46054254dafbdfa382545ada16;28;04;2017
d5570c990f4735bb8aa66c34c35fd6d39be91b129e82b2bccea325dfc10df625;21;12;2018
e12d260580490588427b1953ece842b27a9480276c66635101c41aae8d1cf683;27;10;2018
6514d85cd4bbcf38be5c3ef82dc634228f78b84ac8ae08d17a75c1672b7aa21d;13;10;2017
9bdd3261702bed4655cb3ec48733e709bd25aa600f1f973f77300b8e96903b8f;21;06;2017
de54dbb044a2d735f4f33a7bdd9ba71314ef1201fee8d7c3494f570816a8be80;13;04;2018
c10f171e74cb2aba8b02bf183d7ec615677976308681547b205daa1302d8c781;01;03;2019
21c770260313134ad66de33de18f2b65902f5551211b12abc62746ac8e981499;24;09;2018
6dff9b4298d078ca274bf4a46a494592607e424884e0bef82907a8c4ddca7f0b;22;12;2017
3e4e78a92e5bdf3963a0c10a8fd4c4bd44a0966fa6335f706a99ff6483aebb5d;28;01;2018
c0a80aae57d21b6eaddd8bcb725d2af293bfc73c47ae23a8d08b6be371c29078;02;10;2017
